"STATION","DATE","PRCP","TAVG","TMAX","TMIN"
"USC00300183","1980-01","0.77","24.9","33.0","16.8"
"USC00300183","1980-02","0.82","20.1","28.6","11.6"
"USC00300183","1980-03","4.29","31.0","41.2","20.7"
"USC00300183","1980-04","2.83","45.2","57.2","33.1"
"USC00300183","1980-05","1.45","56.3","70.2","42.5"
"USC00300183","1980-06","2.59","60.3","73.9","46.7"
"USC00300183","1980-07","1.50","67.9","81.7","54.1"
"USC00300183","1980-08","4.78","69.7","80.0","59.3"
"USC00300183","1980-09","3.97","61.0","74.1","47.9"
"USC00300183","1980-10","5.09","45.9","56.2","35.7"
"USC00300183","1980-11","2.49","35.5","43.9","27.1"
"USC00300183","1980-12","1.99","22.5","33.6","11.5"
"USC00300183","1981-01","0.83","16.3","26.6","6.0"
"USC00300183","1981-02","2.87","29.7","40.3","19.1"
"USC00300183","1981-03","1.09","31.7","41.7","21.7"
"USC00300183","1981-04","2.89","47.1","59.5","34.7"
"USC00300183","1981-05","2.40","54.3","69.4","39.1"
"USC00300183","1981-06","3.40","65.3","77.3","53.3"
"USC00300183","1981-07","6.46","67.4","78.5","56.2"
"USC00300183","1981-08","2.52","65.5","76.8","54.2"
"USC00300183","1981-09","3.86","58.4","66.8","49.9"
"USC00300183","1981-10","5.19","46.4","57.2","35.7"
"USC00300183","1981-11","2.59","37.8","47.6","27.9"
"USC00300183","1981-12","2.07",,,
"USC00300183","1982-02","2.61","22.4","33.0","11.7"
"USC00300183","1982-03","1.95",,,"19.3"
"USC00300183","1982-04","1.33",,,"24.5"
"USC00300183","1982-05","2.86","56.9","72.6","41.2"
"USC00300183","1982-06","6.30",,,"50.9"
"USC00300183","1982-07","2.76","67.1","80.1","54.1"
"USC00300183","1982-08","2.02",,,"50.7"
"USC00300183","1982-09","3.57","59.4","70.9","47.8"
"USC00300183","1982-10","1.15",,,"36.2"
"USC00300183","1982-11","5.96","41.3","49.7","32.9"
"USC00300183","1982-12","1.71",,,
"USC00300183","1983-01","1.12",,,"17.6"
"USC00300183","1983-02","0.51","27.8","38.2","17.5"
"USC00300183","1983-03","2.70",,,"25.9"
"USC00300183","1983-04","3.28",,,"31.9"
"USC00300183","1983-05","3.24",,,"39.8"
"USC00300183","1983-06","7.27",,,"50.0"
"USC00300183","1983-07","1.90","68.7","81.6","55.8"
"USC00300183","1983-08","6.58",,,"57.4"
"USC00300183","1983-09","2.05","60.0","72.1","47.8"
"USC00300183","1983-10","2.39",,,"38.0"
"USC00300183","1983-11","3.61",,,"29.9"
"USC00300183","1983-12","3.39",,,"15.6"
"USC00300183","1984-01","1.13","17.3","27.6","7.0"
"USC00300183","1984-02","3.80","31.6","41.0","22.2"
"USC00300183","1984-03","1.84","25.3","35.5","15.0"
"USC00300183","1984-04","3.84",,,"32.6"
"USC00300183","1984-05","7.46",,,"37.8"
"USC00300183","1984-06","8.24","61.5","75.7","47.3"
"USC00300183","1984-07","3.61","64.0","75.9","52.1"
"USC00300183","1984-08","5.61","65.6","76.8","54.5"
"USC00300183","1984-09","2.85","55.1","67.0","43.2"
"USC00300183","1984-10","2.37",,,"38.1"
"USC00300183","1984-11","1.34",,,
"USC00300183","1984-12","2.16",,,
"USC00300183","1985-01","0.91",,,
"USC00300183","1985-02","1.11",,,"11.5"
"USC00300183","1985-03","4.50",,,"19.5"
"USC00300183","1985-04","1.90","46.6","61.2","32.0"
"USC00300183","1985-05","1.44","54.8","70.5","39.1"
"USC00300183","1985-06","4.07",,,"42.0"
"USC00300183","1985-07","2.13","63.6","77.1","50.1"
"USC00300183","1985-08","3.06","64.2","77.5","50.8"
"USC00300183","1985-09","1.58","58.8","72.7","44.8"
"USC00300183","1985-10","4.19",,,"34.5"
"USC00300183","1985-11","6.63","41.2","50.2","32.1"
"USC00300183","1985-12","2.32",,,
"USC00300183","1986-01","1.45",,,"11.4"
"USC00300183","1986-02","3.16","21.7","29.0","14.4"
"USC00300183","1986-03","0.74","33.4","45.9","20.8"
"USC00300183","1986-04","3.11","44.4","58.0","30.8"
"USC00300183","1986-05","1.82","56.2","70.3","42.0"
"USC00300183","1986-06","7.62","59.6","73.0","46.3"
"USC00300183","1986-07","6.98","64.7","75.5","53.9"
"USC00300183","1986-08","2.27","61.6","73.4","49.8"
"USC00300183","1986-09","3.34","56.6","67.9","45.4"
"USC00300183","1986-10","4.12",,,"36.8"
"USC00300183","1986-11","1.78",,,"23.7"
"USC00300183","1986-12","1.28",,,"22.0"
"USC00300183","1987-01","2.11","20.2","29.9","10.5"
"USC00300183","1987-02","0.56","19.1","33.4","4.7"
"USC00300183","1987-03","1.55","34.7","48.1","21.2"
"USC00300183","1987-04","3.94","45.8","58.7","32.8"
"USC00300183","1987-05","1.88","54.4","68.2","40.7"
"USC00300183","1987-06","4.53","62.8","75.6","50.0"
"USC00300183","1987-07","5.65","68.3","79.7","57.0"
"USC00300183","1987-08","4.79","61.5","72.6","50.4"
"USC00300183","1987-09","4.39","57.0","66.6","47.4"
"USC00300183","1987-10","1.57","42.7","54.5","30.9"
"USC00300183","1987-11","1.85",,,"27.1"
"USC00300183","1987-12","1.72","30.5","37.0","24.0"
"USC00300183","1988-01","0.58",,,"9.5"
"USC00300183","1988-02","1.89","20.1","32.0","8.1"
"USC00300183","1988-03","1.40","30.3","42.7","17.8"
"USC00300183","1988-04","4.02","41.2","52.4","29.9"
"USC00300183","1988-05","2.66","53.7","68.0","39.4"
"USC00300183","1988-06","1.62","57.2","71.7","42.7"
"USC00300183","1988-07","3.61","67.5","82.4","52.7"
"USC00300183","1988-08","2.81","65.9","79.2","52.6"
"USC00300183","1988-09","2.08","54.9","69.1","40.6"
"USC00300183","1988-10","2.74","41.8","51.2","32.4"
"USC00300183","1988-11","2.06","38.8","49.2","28.3"
"USC00300183","1988-12","1.63","25.6","36.0","15.2"
"USC00300183","1989-01","1.44",,,"16.4"
"USC00300183","1989-02","2.14",,,"10.8"
"USC00300183","1989-03","3.37","31.4","44.2","18.7"
"USC00300183","1989-04","1.78","39.5","52.4","26.7"
"USC00300183","1989-05","6.18",,,"38.4"
"USC00300183","1989-06","8.36","62.3","72.8","51.8"
"USC00300183","1989-07","3.59","65.6","77.5","53.7"
"USC00300183","1989-08","3.35","63.0","74.9","51.0"
"USC00300183","1989-09","4.11","56.9","68.8","45.0"
"USC00300183","1989-10","2.18","48.3","62.9","33.8"
"USC00300183","1989-11","2.44","35.6","46.9","24.3"
"USC00300183","1989-12","1.20","12.5","24.4","0.7"
"USC00300183","1990-01","2.54",,,"22.3"
"USC00300183","1990-02","3.84",,,"16.6"
"USC00300183","1990-03","1.56","34.5","46.5","22.5"
"USC00300183","1990-04","1.34",,"58.2",
"USC00300183","1990-05","4.06",,"64.7",
"USC00300183","1990-06","1.27",,"75.8",
"USC00300183","1990-07","5.67",,"79.4",
"USC00300183","1990-08","2.76",,"77.1",
"USC00300183","1990-09","4.75",,"68.7",
"USC00300183","1990-10","6.45",,"61.9",
"USC00300183","1990-11","1.92",,"49.6",
"USC00300183","1990-12","4.44",,,
"USC00300183","1991-01","1.04",,,
"USC00300183","1991-02","1.56",,"40.1",
"USC00300183","1991-03","2.58","35.0","45.8","24.2"
"USC00300183","1991-04","3.44",,"60.2",
"USC00300183","1991-05","2.22",,"79.0",
"USC00300183","1991-06","0.32",,"80.4",
"USC00300183","1991-07","4.72",,"82.5",
"USC00300183","1991-08","3.86",,"79.3",
"USC00300183","1991-09","2.50",,"71.1",
"USC00300183","1991-10","2.41",,"63.7",
"USC00300183","1991-11","3.02",,"46.0",
"USC00300183","1991-12","3.89",,,
"USC00300183","1992-01","1.56",,,
"USC00300183","1992-02","1.20","25.9","35.9","15.9"
"USC00300183","1992-03","3.51","28.9","40.4","17.5"
"USC00300183","1992-04","4.33","42.0","53.6","30.3"
"USC00300183","1992-05","3.09","52.9","67.8","37.9"
"USC00300183","1992-06","2.18","58.8","73.9","43.8"
"USC00300183","1992-07","7.96","63.9","74.4","53.3"
"USC00300183","1992-08","4.59","61.6","73.3","49.9"
"USC00300183","1992-09","5.41","56.2","69.0","43.4"
"USC00300183","1992-10","3.59","43.0","55.2","30.7"
"USC00300183","1992-11","4.37","37.0","44.0","30.0"
"USC00300183","1992-12","2.94","28.3","36.6","20.1"
"USC00300183","1993-01","2.70",,,"18.1"
"USC00300183","1993-02","3.03","16.6","30.9","2.3"
"USC00300183","1993-03","2.82","27.5","42.7","12.3"
"USC00300183","1993-04","5.89","45.0","58.7","31.4"
"USC00300183","1993-05","1.01","52.9","68.8","37.1"
"USC00300183","1993-06","2.91","61.1","75.8","46.3"
"USC00300183","1993-07","3.48","68.3","82.3","54.2"
"USC00300183","1993-08","3.01","65.9","79.4","52.5"
"USC00300183","1993-09","2.96",,,
"USC00300183","1993-10","2.01","45.2","59.3","31.2"
"USC00300183","1993-11","4.57","37.3","46.8","27.8"
"USC00300183","1993-12","1.99","24.2","34.1","14.3"
"USC00300183","1994-01","2.50",,,"3.5"
"USC00300183","1994-02","2.40","18.5","31.9","5.1"
"USC00300183","1994-03","3.52","27.8","40.0","15.5"
"USC00300183","1994-04","4.56","44.9","60.4","29.4"
"USC00300183","1994-05","3.09","49.4","63.6","35.2"
"USC00300183","1994-06","7.57","63.8","78.0","49.5"
"USC00300183","1994-07","1.07","68.9","82.0","55.7"
"USC00300183","1994-08","6.04","62.5","75.8","49.3"
"USC00300183","1994-09","2.59","56.9","70.1","43.7"
"USC00300183","1994-10","1.17","47.1","62.0","32.3"
"USC00300183","1994-11","5.19","42.1","54.6","29.7"
"USC00300183","1994-12","1.96","31.2","42.8","19.7"
"USC00300183","1995-01","3.08",,,"18.9"
"USC00300183","1995-02","1.31","18.9","31.6","6.3"
"USC00300183","1995-03","1.23","34.7","49.5","19.9"
"USC00300183","1995-04","1.96","39.2","52.9","25.5"
"USC00300183","1995-05","1.88","52.1","66.8","37.4"
"USC00300183","1995-06","2.24","64.7","79.1","50.3"
"USC00300183","1995-07","2.17","68.5","82.4","54.7"
"USC00300183","1995-08","2.35","67.2","82.5","51.9"
"USC00300183","1995-09","2.04","54.2","69.7","38.8"
"USC00300183","1995-10","7.41","49.6","64.4","34.8"
"USC00300183","1995-11","3.64","30.7","38.2","23.3"
"USC00300183","1995-12","1.69","19.7","27.9","11.5"
"USC00300183","1996-01","3.65",,,"6.5"
"USC00300183","1996-02","1.24","19.4","29.9","8.9"
"USC00300183","1996-03","2.42","26.5","40.7","12.2"
"USC00300183","1996-04","4.83","38.6","50.6","26.5"
"USC00300183","1996-05","5.34",,,"38.7"
"USC00300183","1996-06","4.55","61.9","74.4","49.5"
"USC00300183","1996-07","3.93","61.0","73.9","48.1"
"USC00300183","1996-08","4.11","62.9","76.6","49.1"
"USC00300183","1996-09","5.83","55.1","66.2","44.0"
"USC00300183","1996-10","4.38","48.4","62.6","34.2"
"USC00300183","1996-11","4.14","32.5","40.7","24.2"
"USC00300183","1996-12","2.13",,,"26.1"
"USC00300183","1997-01","1.30",,,"9.9"
"USC00300183","1997-02","2.37","28.6","40.5","16.7"
"USC00300183","1997-03","2.96","32.6","43.5","21.8"
"USC00300183","1997-04","1.52","40.0","54.4","25.5"
"USC00300183","1997-05","3.61","47.8","62.1","33.5"
"USC00300183","1997-06","7.14","64.0","78.1","49.9"
"USC00300183","1997-07","2.65","65.3","79.1","51.4"
"USC00300183","1997-08","2.50","62.7","75.7","49.7"
"USC00300183","1997-09","4.95","56.7","69.8","43.7"
"USC00300183","1997-10","1.74","46.7","61.0","32.4"
"USC00300183","1997-11","3.87","34.7","43.1","26.4"
"USC00300183","1997-12","2.46","28.5","37.3","19.8"
"USC00300183","1998-01","4.77","29.9","39.5","20.3"
"USC00300183","1998-02","1.61","32.2","43.4","20.9"
"USC00300183","1998-03","3.43","35.2","47.5","22.9"
"USC00300183","1998-04","3.70","44.8","59.3","30.4"
"USC00300183","1998-05","2.89","59.1","73.0","45.2"
"USC00300183","1998-06","5.74","62.3","74.7","49.8"
"USC00300183","1998-07","4.93","65.3","79.5","51.0"
"USC00300183","1998-08","3.69","66.6","80.7","52.6"
"USC00300183","1998-09","2.65","59.7","74.5","44.9"
"USC00300183","1998-10","2.22","47.4","61.0","33.9"
"USC00300183","1998-11","1.19","37.7","47.9","27.5"
"USC00300183","1998-12","1.80",,,"20.5"
"USC00300183","1999-01","3.93",,,"7.9"
"USC00300183","1999-02","0.94","25.3","37.7","13.0"
"USC00300183","1999-03","2.79","26.4","40.3","12.5"
"USC00300183","1999-04","3.72","42.1","56.1","28.0"
"USC00300183","1999-05","3.44","55.1","71.7","38.5"
"USC00300183","1999-06","2.34","62.6","77.7","47.4"
"USC00300183","1999-07","3.21","67.5","82.3","52.8"
"USC00300183","1999-08","6.07","61.3","75.1","47.5"
"USC00300183","1999-09","4.55","60.1","74.9","45.2"
"USC00300183","1999-10","1.75","47.0","60.8","33.3"
"USC00300183","1999-11","2.82","42.0","53.3","30.7"
"USC00300183","1999-12","2.20","28.7","38.7","18.6"
"USC00300183","2000-01","3.13",,,"8.3"
"USC00300183","2000-02","2.06","27.3","39.3","15.3"
"USC00300183","2000-03","2.01","38.3","51.2","25.4"
"USC00300183","2000-04","4.13","43.6","55.8","31.5"
"USC00300183","2000-05","4.50","56.3","71.1","41.5"
"USC00300183","2000-06","6.90","64.6","76.3","52.8"
"USC00300183","2000-07","3.18","63.6","77.1","50.1"
"USC00300183","2000-08","2.70","64.3","77.0","51.6"
"USC00300183","2000-09","3.42","57.5","70.9","44.0"
"USC00300183","2000-10","2.65","46.8","61.0","32.6"
"USC00300183","2000-11","1.93","34.8","44.3","25.2"
"USC00300183","2000-12","1.48","18.8","29.4","8.1"
"USC00300183","2001-01","0.97","23.5","32.3","14.8"
"USC00300183","2001-02","1.49",,,"15.9"
"USC00300183","2001-03","4.04","26.9","37.0","16.7"
"USC00300183","2001-04","1.81","44.3","59.1","29.6"
"USC00300183","2001-05","2.69","54.6","70.9","38.3"
"USC00300183","2001-06","2.94","63.2","77.2","49.2"
"USC00300183","2001-07","1.52","63.3","77.7","48.9"
"USC00300183","2001-08","2.78","66.6","82.3","50.9"
"USC00300183","2001-09","3.65","55.8","70.2","41.4"
"USC00300183","2001-10","3.27","47.6","61.2","34.0"
"USC00300183","2001-11","2.37","42.3","55.2","29.5"
"USC00300183","2001-12","2.91",,,"23.0"
"USC00300183","2002-01","2.04","29.4","38.2","20.7"
"USC00300183","2002-02","2.14",,,"17.1"
"USC00300183","2002-03","3.20","32.9","46.0","19.8"
"USC00300183","2002-04","3.95","44.6","58.0","31.2"
"USC00300183","2002-05","6.36","49.4","64.2","34.6"
"USC00300183","2002-06","6.34","63.1","76.7","49.5"
"USC00300183","2002-07","2.22","66.6","80.5","52.8"
